id;created_at;text;retweet_count;favorite_count
1056568427131949056;2018-10-28 15:28:37;#DEMOCRACIASIM https://t.co/bTp1jZdVjp;4315;41472
1054039929708335108;2018-10-21 16:01:17;Venho alertando sobre o crescimento do fascismo no Brasil há muito tempo. Enquanto alguns se omitiam, eu já lutava contra esse perigo para o Brasil. Essa luta seguirá ainda mais forte!#DEMOCRACIASIM https://t.co/3h43MSIsuy;7355;30725
1053391953948217344;2018-10-19 21:06:27;PDT pede anulação da eleição presidencial por abuso de poder econômico  https://t.co/1RGJEzqd3D;4399;26732
1053362465818468352;2018-10-19 19:09:17;Nosso povo merece ser salvo das dívidas de juros abusivos. São 63 milhões de pessoas nessa situação no nosso país. https://t.co/9r9ujTLE21;920;9506
1051989005821247488;2018-10-16 00:11:38;Contra o fascismo, EDUCAÇÃO!Se puder, sacrifique tudo e aposte na educação, pq um povo educado vai se rebelar contra a miséria, contra a exploração.A experiência exitosa do Ceará nós devemos aos professores.Minha homenagem aos professores e professoras de todo o Brasil. https://t.co/DGKP0VSZc2;4586;27734
1051178462281641984;2018-10-13 18:30:50;Bolsonaro é a promessa certa de uma crise. #DemocraciaSim https://t.co/OOEdGn3yZx;8781;36012
1050533238983282689;2018-10-11 23:46:56;https://t.co/a2J3wz3jyU;6129;50293
1048738979665928192;2018-10-07 00:57:12;Vamos virar! #ViraViraCiro #CiroSim #Ciro12 https://t.co/I5mJxkHTQI;12367;43769
1048735197213151232;2018-10-07 00:42:10;O Brasil quer CIRO PRESIDENTE!  #ViraViraCiro #CiroSim #Ciro12 https://t.co/6qB17vORWm;3880;16706
1048731448071602176;2018-10-07 00:27:16;Vamos virar! #ViraViraCiro #CiroSim #Ciro12 https://t.co/TBjiTsyPD3;1935;8631
1048722378325413890;2018-10-06 23:51:13;Neste domingo vote CIRO. #ViraViraCIR0 #Ciro12 https://t.co/cmmat0YESk;2067;7441
1048712616175177729;2018-10-06 23:12:26;@luscas Luscas, você me apoiar é quase eu ganhar o oscar do Twitter. Comigo a democracia never ends. obrigado pelo apoio. Estamos juntos!;14566;79751
1048712023012462592;2018-10-06 23:10:05;@hmcpedro 😘 https://t.co/1VCBg04DoX;185;1457
1048707967338663937;2018-10-06 22:53:58;BOA VIAGEM/CE CIROU, amanhã é 1⃣2⃣! https://t.co/6s1iCV5Ui0;1565;9094
1048706434517684228;2018-10-06 22:47:52;Que recepção, Fortaleza! 😍😍😍 https://t.co/m0H3In6LCe;1024;6302
1048701420856401920;2018-10-06 22:27:57;Vamo virar, Ciro!! https://t.co/HyvLEIfYvX;5613;22953
1048694003087101952;2018-10-06 21:58:28;Vamos consolidar a democracia no Brasil. Por um futuro livre de violência, preconceito e corrupção! #ciro12 #semmedodeserfeliz #quemsabefazahora https://t.co/CbEJPOtFbl;1931;7801
1048693267011911680;2018-10-06 21:55:33;Cirão e Giselle da Massa. #CiroSim #Ciro12 #ViraViraCir0 https://t.co/oBgvPIOElQ;1494;5704
1048690641268629504;2018-10-06 21:45:07;Cid Gomes, candidato ao Senado pelo Ceará. #CiroSim #Ciro12 #ViraViraCir0 https://t.co/ooC763iqGr;466;2140
1048688605370179584;2018-10-06 21:37:01;Kátia Abreu fala para os eleitores indecisos do Brasil todo. https://t.co/4jyVqFSMLc;511;2722
1048688276457115648;2018-10-06 21:35:43;Maria Izolda, vice-governadora do Ceará. #CiroSim #Ciro12 #ViraViraCir0 https://t.co/JCjiFBAd48;266;1376
1048687345933930498;2018-10-06 21:32:01;O compromisso com o meio ambiente é inegociável para mim. Kátia Abreu, minha vice, sabe disso e vai nos ajudar na missão de construirmos um futuro sustentável para nossa nação. #ViraViraCiro #CiroSim #Ciro12 https://t.co/PvDloFfKjo;669;3777
1048686450378776576;2018-10-06 21:28:28;@EKrominski 🤙😘 https://t.co/PrdVWwwMuh;139;1062
1048685617956175872;2018-10-06 21:25:09;Carol Bezerra, primeira dama de Fortaleza. #CiroSim #Ciro12 #ViraViraCir0 https://t.co/tlgeYvT02T;920;3595
1048683103810723840;2018-10-06 21:15:10;Roberto Claudio, prefeito de Fortaleza. #CiroSim #Ciro12 #ViraViraCir0 https://t.co/9UaJI7kIub;556;2351
1048679397610414081;2018-10-06 21:00:26;Qual será o maior desafio de Ciro ao assumir à presidência, se o povo brasileiro assim quiser? São muitos. Veja o vídeo. #Ciro12 #CiroPresidente #PergunteAoCiro12 https://t.co/feHmkkSVrN;649;2957
1048662220417236992;2018-10-06 19:52:11;Chega dessa divisão que está acabando com nosso país. Obrigado pelo apoio. Vamos mudar o Brasil. Beijo, querido! https://t.co/qiobfuKdLe;3308;19233
1048641772870676480;2018-10-06 18:30:56;@brunacaram @samiabomfim @lecibrandao @silviaferraro_ @eduardosuplicy @LisetePSOL Obrigado pelo apoio, Bruna! Vamos juntos. Beijo!;24;538
1048634481962307584;2018-10-06 18:01:57;Muita emoção! A maior carreata da história do Ceará! Mais de 4 mil veículos e cerca de 20 mil pessoas nas ruas querendo mudar! O coração do nosso Cirão está a mil!! #ViraViraCiro 📸Leo Canabarro https://t.co/QhNiYGDHpa;977;4571
1048633993732796416;2018-10-06 18:00:01;Vote Ciro já no 1º turno. Não é hora de arriscar. Vamos unir o país contra o ódio e o medo. Neste domingo dê uma chance ao Brasil: vote 12. #ViraViraCir0 #CiroSim #Ciro12 https://t.co/nlecz8xAcx;8501;21223
1048631525120663553;2018-10-06 17:50:12;Muita emoção! A maior carreata da história do Ceará! Mais de 4 mil veículos e cerca de 20 mil pessoas nas ruas querendo mudar! O coração do nosso Cirão está a mil!! #ViraViraCir0 https://t.co/PhXcjKhsHY;3836;14664
1048627653979361280;2018-10-06 17:34:49;@fegrisch @cirosugarpainho Obrigado por todo apoio Fernando! Vamos juntos ajudar a mudar o Brasil! Beijo;65;1365
1048616285163147266;2018-10-06 16:49:39;Agradeço a todos de coração. Wagner Rolim é de Sobral e estava na frente do comitê querendo que alguém fizesse esse poema chegar até mim. Chegou, viu? Muito obrigado!!;218;2357
1048616282143248391;2018-10-06 16:49:38;O nordestino tem essa vontade de ser ouvido e tem sempre uma palavra de esperança. Tem essa coisa maravilhosa de fazer de tudo poesia, rima, cordel, repente. Essa pujança cultural me deixa muito feliz. Tenho recebido muita coisa legal nesses últimos dias. https://t.co/lvsavAZB8l;636;4140
1048608869512097793;2018-10-06 16:20:11;“Você pode decidir por uma estrada iluminada para o Brasil.” @caetanoveloso #ViraViraCiro #CiroSim #Ciro12 https://t.co/aCsfeGS8iJ;1928;6851
1048603006881751042;2018-10-06 15:56:53;Obrigado pela análise e pelo apoio, Wanderley. Tenho certeza que a nação Brasileira vai escolher olhar para o futuro nesse momento, não para o passado. #ViraViraCiro #CiroSim #Ciro12 https://t.co/kXDcuuXP6f;644;2953
1048590498917748736;2018-10-06 15:07:11;Até a Apple Cirou!!! Lançou o iOS 12!!! #ViraViraCiro #CiroSim #Ciro12 https://t.co/YckMLlslBY;17519;56054
1048583344324337664;2018-10-06 14:38:45;Começou a carreata da virada em Fortaleza, turma!! É sol na cabeça e coração a mil!! #ViraViraCiro #CiroSim #Ciro12 📸Giovanna Duarte https://t.co/89msUYbOJd;1575;7806
1048578068699381760;2018-10-06 14:17:47;Chega de ódio. Tenho a firmeza e a sensibilidade social que o Brasil precisa para atravessar esse momento. Neste domingo dê uma chance ao Brasil: vote 12. #ViraViraCiro #CiroSim #Ciro12 https://t.co/4JUVVoWqOY;7931;27560
1048537097014071297;2018-10-06 11:34:59;@MarceloTas Pra mudar o Brasil, Tas! Vamos juntos. Um beijo!;237;4458
1048536392102551553;2018-10-06 11:32:11;Ibirité-MG já virou! É Ciro na cabeça e o coração a mil! #ViraViraCiro #CiroSim #Ciro12 https://t.co/cDZQmDn9qu;690;4002
1048393765424177152;2018-10-06 02:05:26;Arcos da Lapa agora! ❤️#ViraViraCiro #CiroSim #Ciro12 https://t.co/nrWIIJczXN;2667;12795
1048348734201978880;2018-10-05 23:06:30;Em Uberlândia, uma multidão recebeu Ciro com muito carinho. Ele falou do seu Projeto Nacional de Desenvolvimento e respondeu perguntas dos eleitores. O público presente fez dessa noite de sexta-feira memorável. O Clima foi de confiança, esperança e muito entusiasmo. #CiroSim https://t.co/UFghxH4x88;1519;9606
1048348620079157249;2018-10-05 23:06:03;Estive no início desta tarde em Ibirité (MG) ao lado de Tibé, presidente nacional do Avante e candidato a deputado federal. O povo mineiro vai mais uma vez ajudar o Brasil! #CiroSim #ViraViraCIRO https://t.co/UFSaFLAEtk;690;3471
1048333397041582080;2018-10-05 22:05:33;#CiroSim #Ciro12 #ViraViraCIRO https://t.co/BA1XMrNU5G;984;5213
1048332500026707968;2018-10-05 22:01:59;#ViraViraCIRO #Ciro12 #CiroSim https://t.co/weW29q7e5m;2688;6934
1048332100880027649;2018-10-05 22:00:24;#CiroSim #Ciro12 #ViraViraCIRO https://t.co/gsgYaDzw3w;1795;6177
1048329532904812545;2018-10-05 21:50:12;#CiroSim #Ciro12 #ViraViraCIRO https://t.co/aJn3fOKRup;449;2454
1048327070915411968;2018-10-05 21:40:25;#CiroSim #Ciro12 #ViraViraCIRO https://t.co/tVL4tjShgp;502;2209
1048325671045488640;2018-10-05 21:34:51;#CiroSim #ViraViraCIRO https://t.co/rjyj6GWUP6;203;1094
1048325652888408064;2018-10-05 21:34:47;#CiroSim  #ViraViraCIRO https://t.co/k1n5WXDWWW;141;787
1048324583810654209;2018-10-05 21:30:32;Multidão em Uberlândia com Ciro! #ViraViraCiro #Ciro12 #CiroSim https://t.co/PZfSnNEBCh;3482;15125
1048324494631342080;2018-10-05 21:30:11;#CiroSim #Ciro12 #ViraViraCIRO https://t.co/C3hTjqfVdk;414;2300
1048321991135170560;2018-10-05 21:20:14;@pecesiqueira Pece da Massa! Obrigado pelo apoio, querido. beijo!;585;11093
1048301379943632896;2018-10-05 19:58:20;Debaixo do sol quente, ou da chuva, a Rocinha e o Brasil já decidiram: É CIRO PRESIDENTE! É a hora da virada! #ViraViraCiro #CiroSim #Ciro12 https://t.co/Vi2wax4E3R;2963;11367
1048294687570886659;2018-10-05 19:31:44;Fico muito grato pelo apoio dos colegas da Faculdade de Direito  da  UFC.  Recebo emocionado essa energia boa.  #ViraViraCiro #CiroSim #Ciro12 https://t.co/d1GFCkb43l;539;3197
1048290064885862400;2018-10-05 19:13:22;#CiroSim #Ciro12 https://t.co/01JsFG0g3x;83;630
1048287759914455040;2018-10-05 19:04:12;Coisa linda é essa nossa turma!! De um jeito ou de outro, vamos pra rua! Vamos mudar o Brasil ❤ #ViraViraCiro #CiroSim #Ciro12 https://t.co/pk6kfbYjvM;3193;15385
1048287124821295109;2018-10-05 19:01:41;#CiroSim #Ciro12 https://t.co/QxunD492ZY;79;557
1048287057804759041;2018-10-05 19:01:25;#CiroSim #Ciro12 https://t.co/ckvYZUXaWj;63;476
1048286962971566081;2018-10-05 19:01:02;#CiroSim #Ciro12 https://t.co/wE4ieXBXms;80;527
1048266133592264709;2018-10-05 17:38:16;Isabella, querida! Obrigado por esse apoio. Um beijo! https://t.co/YGRQ9YIds3;399;3459
