id;created_at;text;retweet_count;favorite_count
1050122193689034752;2018-10-10 20:33:35;Ouvimos ontem todo o partido e decidimos liberar os militantes e líderes tucanos para que decidam de acordo com a sua consciência, convicção e realidades estaduais. Não apoiaremos nem Haddad, nem Bolsonaro. Apoiaremos sempre o Brasil. https://t.co/gqpdhsW7d6;143;1228
1049323455294951427;2018-10-08 15:39:41;Percorremos o Brasil inteiro ouvindo e dialogando com a população e as suas mais distintas realidades, portanto, cada voto recebido tem uma responsabilidade, um valor e um carinho enorme. Obrigado pela confiança e o respeito de cada um de vocês. Estamos juntos!;64;696
1049323453277515776;2018-10-08 15:39:41;Obrigado a todos que acreditaram em nosso projeto e depositaram nas urnas a esperança e a confiança de um país melhor. Foram mais de 5 milhões de votos. Nosso mais absoluto respeito às urnas, ao resultado das urnas, e à manifestação dos eleitores.;215;2867
1048713009865150468;2018-10-06 23:14:00;Com #Geraldo45, o governo federal vai liderar o combate à criminalidade. Conheça suas principais propostas para segurança pública ➡ https://t.co/20S8YVR9gY e a defesa nacional ➡ https://t.co/3a5RAPXANl. E #Vote45! #EquipeGA #GeraldoPresidente #AnaAméliaVice https://t.co/K0zRnUfWWt;40;178
1048697701565718529;2018-10-06 22:13:10;Está chegando a hora! 😁 Vem com a gente mudar o Brasil: #Vote45!#equipeGA #Geraldo45 #GeraldoPresidente https://t.co/Lmo38u4KJp;156;681
1048674254164647936;2018-10-06 20:40:00;Geraldo Alckmin quer ser presidente para trabalhar pra quem mais precisa. Veja suas propostas! https://t.co/hS0rE0kcfK. E #Vote45 #GeraldoPresidente! 😉 #EquipeGA #AnaAméliaVice #Geraldo45 https://t.co/kyya92WhX5;35;113
1048665577785626624;2018-10-06 20:05:31;#Geraldo45 tem um recado pra você! 😉#GeraldoPresidente #AnaAméliaVice #Vote45 https://t.co/sKmEbPCLAg;96;345
1048656640642170880;2018-10-06 19:30:00;Combate à corrupção, reforma política e reforma de Estado. Transparência, corte de desperdícios e maior eficiência no governo. Conheça as propostas de  #Geraldo45: https://t.co/hS0rE0kcfK  #equipeGA #GeraldoPresidente https://t.co/Qp0DgssLbV;33;92
1048650603856121863;2018-10-06 19:06:01;Os extremos não ajudam o Brasil a se recuperar e podem gerar ainda mais crise, prejudicando a população que tanto sofreu nos últimos anos. Metade do país não quer nenhum dos dois. Estou suando a camisa para evitar que o Brasil vá para o radicalismo. #Geraldo45 #BrasilSIM https://t.co/ro9NTQ9BnV;52;162
1048650150170775552;2018-10-06 19:04:13;O Brasil tem pressa e não pode errar. Confira alguns dos muitos motivos pelos quais Alckmin merece o seu voto neste dia 7 de outubro. https://t.co/d2VQmvSFne #equipeGA #Geraldo45 #GeraldoPresidente #AnaAméliaVice #Vote45;35;101
1048636505768562688;2018-10-06 18:10:00;Não é hora de ódio. O Brasil não quer seguir o caminho dos radicais, dos extremos. Vote com consciência, responsabilidade e sensibilidade, pensando no futuro do país.  #Geraldo45 #Vote45 #BrasilSIM https://t.co/3nJLthIhUR;142;661
1048611339688693760;2018-10-06 16:30:00;Geraldo Alckmin acredita que a educação é o melhor caminho para combater desigualdades. Ele dará prioridade à educação básica, com cuidado especial com a primeira infância. Veja suas propostas! https://t.co/YON0b12qrW#equipeGA #Geraldo45 #GeraldoPresidente https://t.co/l9HcD4VMrG;31;101
1048607469323337729;2018-10-06 16:14:37;Conheça o plano de governo de Geraldo Alckmin. Ele foi produzido por algumas das pessoas mais preparadas do Brasil e teve sugestões dos quatro cantos do nosso país. Acesse: ➡ https://t.co/hS0rE0BNEk.Amanhã, dia 7 de outubro, vá de #Geraldo45! #Vote45#EquipeGA https://t.co/RbteDjie7q;41;132
1048589413712842752;2018-10-06 15:02:52;Amanhã é o dia da reflexão, da decisão. O grande juiz é o povo. Estamos empatados em 3º lugar e na briga pelo 2º turno. Vamos aguardar o resultado das urnas. Estamos confiantes de que podemos evitar um segundo turno entre dois radicais. #Geraldo45 #Vote45 #BrasilSIM;105;419
