id;created_at;text;retweet_count;favorite_count
1056689116698628096;2018-10-28 23:28:12;Jair Bolsonaro fala pela primeira vez como Presidente eleito: https://t.co/zOavZ1SG7D;4995;33075
1056688568024907777;2018-10-28 23:26:01;Obrigado pela confiança! Vamos juntos mudar o Brasil! https://t.co/eeAdr0dc13;28053;132289
1056685297377992704;2018-10-28 23:13:01;BRASIL! 🇧🇷👍🏻;49605;206451
1056359568979181568;2018-10-28 01:38:42;@lobaoeletrico 👍🏻🇧🇷;541;4326
1056349605582045184;2018-10-28 00:59:06;ATÉ A VITÓRIA, SE DEUS QUISER! 🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/gSy1hyQt28;19031;89968
1056348052624158721;2018-10-28 00:52:56;Depois de décadas, o Brasil finalmente tem a chance de eleger um presidente que carrega verdadeiramente os valores dos Brasileiros. Vamos juntos mudar os rumos da nossa nação! Vamos votar Jair Bolsonaro presidente 17! Um forte abraço a todos e até a vitória, se Deus quiser! https://t.co/bFn17omhAp;17053;73121
1056343902339416064;2018-10-28 00:36:26;A escolha é com o Brasil! https://t.co/5cTz1IDPxQ;9510;37400
1056332482004615168;2018-10-27 23:51:04;https://t.co/yvI9KznFUU https://t.co/G9Nbq9AftS;3062;13899
1056319135720837126;2018-10-27 22:58:02;Se for da vontade de Deus, amanhã será o dia de nossa nova independência. Vamos derrotar o partido dos maiores escândalos de corrupção da história, do Petrolão, do Mensalão, do Foro de SP, dos inimigos da liberdade e da Constituição! Devolveremos o Brasil aos brasileiros de bem!;24620;111587
1056311282763227137;2018-10-27 22:26:49;RT @FlavioBolsonaro: Nossa solidariedade ao povo judeu nesse abominável ato antissemita. E nossos sentimentos aos familiares dos que foram…;4461;0
1056311178153078787;2018-10-27 22:26:24;Última live pré-segundo turno. O futuro está nas mãos dos brasileiros. Link completo no youtube. https://t.co/QfYKbbt3Lz;3363;16104
1056268457266896897;2018-10-27 19:36:39;ATÉ O ÚLTIMO MOMENTO! VAMOS TODOS JUNTOS! https://t.co/3S2AU4hv9e;9009;39205
1056263387557126148;2018-10-27 19:16:30;Hoje, 27/10, às 18:30h, faremos a última live antes das Eleições. Momento para nos unirmos e nos conscientizarmos sobre o futuro que está em jogo. Temos 2 opções: a mudança e prosperidade ou a mesmice dos que quebraram, assaltaram e levaram o Brasil ao caos e à violência. Até lá!;8925;40550
1056229068448907265;2018-10-27 17:00:08;Emocionante sentir a esperança dos brasileiros! Lamento não estar mais perto por conta das limitações médicas após sofrer tentativa de assassinato por um antigo militante do PSOL, braço do PT, mas confiamos e escutamos o Brasil! LEMBREM-SE NADA ESTÁ GANHO! Força até o fim!;14871;74648
1056221195329249285;2018-10-27 16:28:51;A DEMOCRACIA DO MST, UNE e outros estranhos: Militantes de esquerda, desafiam justiça e fazem ato chamando Juiz Moro de corrupto: https://t.co/weD189XfNA;5851;20697
1056213541387190277;2018-10-27 15:58:26;Recebi apoio da Federação das Empregadas e Trabalhadores Domésticos de SP. Ela destaca nossa extrema sinceridade e atenção sempre dada em visitas ao meu gabinete, e a demagogia do PT, que sempre disse representar a classe, mas a enganou. Veja o documento: https://t.co/TEidHkIP9E;8921;34149
1056197812961112066;2018-10-27 14:55:56;Em suas redes sociais, Joaquim barbosa divulga voto em Haddad, mas já está na história que ele mesmo disse que só Bolsonaro não foi comprado pelo PT no esquema de corrupção conhecido como Mensalão, que feria gravamente a democracia do nosso país anulando o Poder Legislativo. https://t.co/79dRHsvGwH;15284;49239
1056172610650816512;2018-10-27 13:15:47;Trabalhador indignado mostra a realidade de violência no Brasil. https://t.co/1invULEyD5;9468;31182
1056161269483487233;2018-10-27 12:30:43;Obrigado pelo apoio com a hashtag #MudaBrasil17 . Primeiro lugar no Brasil e segundo no mundo! 👍🏻;18082;72513
1056126477924753410;2018-10-27 10:12:28;Todo cidadão, para gozar de seus plenos direitos, deve obedecer às leis e cumprir com seus deveres. Qualquer pessoa no território nacional, mesmo não sendo cidadã brasileira , tem direitos inalienáveis como ser humano, assim como tem o dever de obedecer as leis do Brasil.;5511;26037
1056126309540265984;2018-10-27 10:11:48;A forma de mudarmos o Brasil será através da defesa das leis e da obediência à Constituição, Assim, NOVAMENTE, ressaltamos que faremos tudo na forma da Lei! Qualquer forma de diferenciação entre os brasileiros não pode ser admitida. Todo cidadão terá seus direitos preservados.;10262;45537
1056125154244415488;2018-10-27 10:07:13;@felipefepacivil Bom Dia. 👍🏻;42;443
1056124844058796032;2018-10-27 10:05:59;FAMÍLIA e PROPRIEDADE PRIVADA: https://t.co/PI2SJvdxOZ;3704;15657
1055982222921158656;2018-10-27 00:39:15;"Falta pouco para conquistarmos nossa nova independência; o 1• passo rumo ao país da justiça, do emprego, segurança e da liberdade. Peço, de coração, que continuem engajados, mostrando que temos a melhor proposta até o fim e encarando as mentiras de meu opositor! Fiquem com Deus!";16948;75151
1055974389001400326;2018-10-27 00:08:08;Luciano Camargo e Família visitam Bolsonaro. Um bate papo muito franco e bacana. https://t.co/Qumohc2X1t;3320;17467
1055964826239934464;2018-10-26 23:30:08;RT @claudioedantas: PF desmantela grupo que organizava ato violento após vitória de Bolsonaro https://t.co/Phvs8zv7Zl;6537;0
1055953855870050304;2018-10-26 22:46:32;Recebemos visita de deputado Ítalo-brasileiro Roberto Lorenzato trazendo o apoio e pedido de extradição do terrorista italiano Cesare Battisti oriundos do Vice-Primeiro Ministro da Itália. Compromisso mais que reafirmado! https://t.co/iHMq3hs73i;6324;27372
