id;created_at;text;retweet_count;favorite_count
1056291241384644609;2018-10-27 21:07:11;NAÇÃO BRASILEIRA.                         Conheço as suas obras, sei que você não é frio nem quente. Melhor seria que fosse frio ou quente! Assim, porque você é morno, não é frio nem… https://t.co/4fONrjpi4u;55;839
1056084752371933184;2018-10-27 07:26:40;"Seguirei o caminho da integridade;quando virás ao meu encontro?Em minha casa viverei de coração íntegro. Salmos 101:2 em Ciudad vieja de Jerusalén https://t.co/2GScum3nct";59;1094
1053461920639057920;2018-10-20 01:44:28;https://t.co/BvTWDIZdiO;893;6128
1053461098169622529;2018-10-20 01:41:12;Voto em cédulas JÁ!Glória a Deus https://t.co/kG0X7YliKB;107;871
1053071583286386689;2018-10-18 23:53:25;@isamovitz Deus abençoe;0;12
1052725022135971840;2018-10-18 00:56:18;Eu posso ser crente menino, mas não adultero.Eu posso ser crente menino , mas eu não me vendo. https://t.co/GwYTxXhMxW;574;4296
1051297553705254912;2018-10-14 02:24:03;@andersonfelix94 Deus te abençoe 🙏;3;172
1051252139236962304;2018-10-13 23:23:35;@higxrr @YouTube Deus abençoe sr José Glória a Deus;2;52
1051247214419423235;2018-10-13 23:04:01;@avrc41 @Jotapecrf_99 Deus te abençoe meu amigo;1;276
1051242566115610631;2018-10-13 22:45:33;Decifrando Códigos: Estátua da Liberdade (History Channel) https://t.co/2xYJFFQ2Fi via @YouTube;82;471
1051236173887221760;2018-10-13 22:20:09;"“Só vim aqui mostrar pra nação que nem corda, nem corrente, muito menos cabo me tiram daqui!”Havan""Não se deixem enganar: de Deus não se zomba. Pois o que o homem semear isso também colherá.""Gálatas6:7 Não duvidem do poder de DEUS https://t.co/YnF34tGfMk";4036;15132
1050258435940470784;2018-10-11 05:34:58;Glória a Deus.                           Aquele encontro explosivo está chegando @DaniloGentili @LeoLins @murilocouto https://t.co/K5lj8wKOb8;873;9846
1050158482660442117;2018-10-10 22:57:47;"""Há a lei das eleições, que é a 9.504/97,que coloca uma coisa muito clara: quando tem fragilidade nas urnas eletrônicas, quando é comprovado que existe fraude, a insegurança jurídica, é necessário que o TSE, em caso excepcional, faça a votação em cédulas. Apresentamos provas."" https://t.co/UOfIiPO8O0";4585;18185
1049398930956537856;2018-10-08 20:39:36;TRANSMISSÃO AO VIVO (FACEBOOK)HOJE, SEGUNDA-FEIRA, ÀS 18H!BRASIL: OBRIGADO PELOS 1.348.317 VOTOS https://t.co/YZtMnBd3Hj;288;3826
1049329456874184705;2018-10-08 16:03:32;Meu dia seguinte❤️Glória a Deus https://t.co/VnAQRMlZEf;5490;34065
1048738010098028549;2018-10-07 00:53:20;https://t.co/lIkxBtvCrF;190;1784
1048737491359076352;2018-10-07 00:51:17;Amo todos vocês.                  “Desde o início faço conhecido o fim,desde tempos remotos,o que ainda virá.Digo: Meu propósito permanecerá em pé,e farei tudo o que me agrada“.… https://t.co/SdEj0MmOut;137;2314
1048703277808930816;2018-10-06 22:35:20;TRANSMISSÃO AO VIVO (FACEBOOK) HOJE, SÁBADO!NOVO HORÁRIO: ÀS 21HJUNTOS SOMOS FORTES NEM UM PASSO DAREMOS ATRÁS DEUS ESTÁ NO CONTROLE https://t.co/ePeeB9re6K;116;976
1048695726509838336;2018-10-06 22:05:19;@heavypotter @clauclaurainha Deus abençoe vcs grande abç;0;19
1048694932389683205;2018-10-06 22:02:10;@Sra_Amell Deus abençoe;1;14
1048677470864650242;2018-10-06 20:52:47;@AndreaaJamile Janaína Deus te abençoe;1;33
1048677194044727297;2018-10-06 20:51:41;@GersonDCastro81 Deus abençoe;1;30
1048676717420863489;2018-10-06 20:49:47;@markribis Cabo Daciolo51 Deus te abençoe;7;193
1048675463198138369;2018-10-06 20:44:48;@nivolyy Carla Deus te abençoe.;109;486
1048634678582923264;2018-10-06 18:02:44;@MarcoDs32 51 Deus abençoe;1;54
1048627825761247233;2018-10-06 17:35:30;@nairax_ Deus abençoe 51;4;128
1048627338760609798;2018-10-06 17:33:34;@gabrielaschuIz Deus abençoe Gabi 51;1;4
1048599258889441281;2018-10-06 15:42:00;@castilhojac Um beijo e Deus abençoe ❤️;21;547
1048598643064934400;2018-10-06 15:39:33;@Xnthunder @BrunnoHGOficial @hiperavictor @luizahidalgo_ FAKE News amiga;49;637
1048597841487249409;2018-10-06 15:36:22;@Dinelli_23 51;18;624
1048542769193672704;2018-10-06 11:57:31;CABO DACIOLO 51 https://t.co/8VQCK2j5tE;31812;68714
1048356118274162689;2018-10-05 23:35:50;CABO DACIOLO51 COM GABEIRA 23h 23h 23h@fernandogabeira;130;1397
1048347568625922049;2018-10-05 23:01:52;Glória a Deus.                                         Hoje Cabo Daciolo51 com Gabeira 23:30h ⁦@gabeiracombr⁩ ⁦@GloboNews⁩ https://t.co/4vLa9qyFJu;181;1185
1048066064033206272;2018-10-05 04:23:16;RT @Miltonneves: Esse debate sem Bolsonaro e Daciolo é mais ou menos como assistir Suiça x Arábia Saudita na Copa do Mundo;4843;0
1048065625636200449;2018-10-05 04:21:31;@_extra_extra Berenice❤️ 51 https://t.co/rPItliHA3p;0;11
1048021554733441029;2018-10-05 01:26:24;#DacioloNaGlobo CABO DACIOLO 51 https://t.co/QfSVGGK8P4;265;1852
1047987360158437376;2018-10-04 23:10:31;Estamos ao vivo                      https://t.co/Av4OEf5jJq;93;668
1047911180336082944;2018-10-04 18:07:49;DEBATE - GLOBO O nosso partido recorreu junto ao TSE contra o boicote da Globo, que não nos convidou para o debate de hoje. O propósito está nas mãos de DEUS.JUNTOS SOMOS FORTESNEM UM PASSO DAREMOS ATRÁSDEUS ESTÁ NO CONTROLE https://t.co/lyEzBADItS;1271;7528
1047821586978541569;2018-10-04 12:11:48;Amigos,Hoje TERÍAMOS  mais um encontro suave e revigorante no debate da Globo.                                    Deus está no controle.Aguardo vcs nas urnas.                          CABO DACIOLO 51.                                   #DacioloNaGlobo https://t.co/gYzaopnd7k;2268;8332
1047681632302497793;2018-10-04 02:55:40;"Obrigado a rádio ""Barba, cabelo e bigode"" https://t.co/D3bFyBX1zV";1507;5527
1047294542733594625;2018-10-03 01:17:31;@kaueod FAKE;10;54
1047150418940387329;2018-10-02 15:44:49;CABO DACIOLO 51Assim, permanecem agora estes três: a fé, a esperança e o amor. O maior deles, porém, é o amor. 1 Coríntios 13:13 https://t.co/8KvmlEU5o1;1738;11327
1046939971561693185;2018-10-02 01:48:35;@mariana_godoy @AlexSoaresMusic O próximo.@mariana_godoy Vc é minha convidada de honra para posse.;27;202
1046938252077359105;2018-10-02 01:41:45;RT @agencialupa: A campanha de @CaboDaciolo já gastou R$ 738,37 – a maior parte na taxa de administração de uma campanha de financiamento c…;400;0
1046904758378881025;2018-10-01 23:28:39;Glória a Deus https://t.co/2zx6KAd4nT;23552;90980
1046731264353607680;2018-10-01 11:59:15;#MarianaGodoy Amém https://t.co/9Y7uzAknGj;615;2903
1046718998778384387;2018-10-01 11:10:31;Glória a Deus https://t.co/yWzxfqfkPl;4297;15973
1046647074811510784;2018-10-01 06:24:43;RT @JonatasNunes88: Cabo Daciolo é uma figura, o melhor no debate... Só diz verdades.. Eu espero ele com o óleo de peroba na globo quinta f…;1712;0
1046572097387057153;2018-10-01 01:26:47;Deus abençoe e me conceda sabedoria.#cabodaciolo #daciolo #daciolopresidente2018 #debaterecord em Rede Record de Televisao https://t.co/GYr557fx6L;206;2383
1046477037744066561;2018-09-30 19:09:03;Aguardo vocês.             #Daciolo51 https://t.co/WH3pmhwOZn;1348;7623
1046433762890973184;2018-09-30 16:17:05;PERFIS FAKES!Peço ATENÇÃO REDOBRADA às pessoas que acompanham a nossa caminhada contra os PERFIS FAKES (FALSOS) que foram criados com o meu nome. NÃO compactuamos com essa mentira, muito menos concordamos com o que já foi escrito fraudulentamente em meu nome.Cabo Daciolo https://t.co/8fMJyNVvOj;694;3938
1045921626846507009;2018-09-29 06:22:02;Deus é AMOR.                                 Acima de tudo, porém, revistam-se do amor, que é o elo perfeito. Colossenses 3:14 em SBT - Sistema Brasileiro de Televisão https://t.co/st0AiKcKhy;170;1928
1045376501762445313;2018-09-27 18:15:54;Cabo Daciolo 51Quinta-feira 27/09Visita Expo Cristã para gravar entrevista no stand Rede Brasil de TvLocal Anhembi SP                              #cabodaciolo #daciolo em Pavilhão Anhembi https://t.co/bk7z9OGG2p;46;738
1045031823515045888;2018-09-26 19:26:17;https://t.co/2JqMFrcn7K;146;1340
1044661446615990275;2018-09-25 18:54:32;É hoje https://t.co/88ycZMDrel;312;1708
1042122648082415616;2018-09-18 18:46:15;Quem é Cabo Daciolo, o candidato que confia sua campanha a Deus https://t.co/AbEv7eqi5F via @exame;160;843
1039893984670375937;2018-09-12 15:10:20;https://t.co/GA0p0WmMzi;53;400
1039886282657292289;2018-09-12 14:39:44;TRANSMISSÃO AO VIVOHOJE, QUARTA-FEIRA, ÀS 18HHoje faz sete dias do propósito de jejum e oração, por 21 dias, que iniciamos com DEUS pela NAÇÃO BRASILEIRA. Estamos certos de que este é… https://t.co/LLyeY1dAT8;45;384
