id;created_at;text;retweet_count;favorite_count
1052678073081110528;2018-10-17 21:49:45;RT @Haddad_Fernando: @jairbolsonaro Antes dizia o que pensava, e agora evita pra não perder voto. Por isso não quer debater. https://t.co/p…;2979;0
1050057421702529024;2018-10-10 16:16:13;@eibeijosmeliga Obrigado!!!!;0;5
1050053444776660992;2018-10-10 16:00:24;Pq será??? https://t.co/P51U1wiTUv;28;111
1050053255236063232;2018-10-10 15:59:39;"RT @cartacapital: Mentor econômico de Jair Bolsonaro (PSL), Paulo Geudes, o ""posto Ipiranga"", é investigado por suposto desvio de um 1 bilh…";1497;0
1050053182347464711;2018-10-10 15:59:22;RT @SCaldieri: Guru da ultra-direita mundial e ex-assessor de Trump atua na campanha das redes sociais de Bolsonaro | Revista Fórum https:/…;6;0
1048626095954833409;2018-10-06 17:28:38;Peço o seu voto no 54 de cima a baixo para conquistarmos uma Pátria Livre e Soberana!;24;78
1047330335439163392;2018-10-03 03:39:45;O que nós defendemos para a Previdência é o fim do Fator Previdenciário e do modelo 85/95, instrumentos criados para reduzir as aposentadorias. Vamos revogar essas medidas, criadas nos governos FHC, Lula, Dilma e Temer!;11;53
1047203869418295296;2018-10-02 19:17:13;É lamentável a nova crítica do vice de Bolsonaro ao 13º salário. Segundo Mourão, com ele (o 13º) “todos saímos prejudicados”. Mais uma prova de seu posicionamento elitista, que favorece os mais ricos em detrimento do povo.;35;123
1046483860823973890;2018-09-30 19:36:09;Parabéns às mulheres brasileiras que deram ontem uma vigorosa demonstração de que não querem o retrocesso. O Brasil quer caminhar para a frente. Pátria Livre, venceremos!;21;120
1046483086442139648;2018-09-30 19:33:05;Obrigado aos moradores de Ceilândia e à comunidade de Itapoã por nos receber tão bem.Agradeço ainda a cada um que participou de nossa carreata em Brasília. Juntos vamos construir um Brasil mais justo e igualitário!Avante, Pátria Livre! https://t.co/kk9lGrud25;5;24
1046399194561433601;2018-09-30 13:59:43;Este governo entreguista e sem legitimidade consumou a entrega de campos de petróleo do Pré-Sal para as multinacionais. A Shell, Shevron e BP fincaram suas garras na região para sugar o nosso petróleo. O Brasil não aceita essa traição!;16;82
1046124733572554753;2018-09-29 19:49:07;Temos que enfrentar esse modelo econômico que transformou o Brasil em escravo do sistema financeiro. Nosso caminho é o da produção e da valorização dos salários. https://t.co/1EVz4uk3ew;8;41
1045358199111667712;2018-09-27 17:03:11;Além de propor aumento de impostos para os mais pobres, o vice de Bolsonaro quer acabar com o décimo terceiro salário. O 13° foi uma criação do governo Jango.;271;1161
