id;created_at;text;retweet_count;favorite_count
1055496641376063489;2018-10-25 16:29:44;“Independente de quem ganhe as eleições, nós precisamos nos unir aqui embaixo, organizar a classe trabalhadora e preparar as lutas que virão!” https://t.co/bFcwpcazdY;4;21
1052884737562476545;2018-10-18 11:30:57;Os ataques contra ativistas com o objetivo de polarizar ainda mais as eleições, feitos de forma covarde e para intimidar quem está contra Bolsonaro, são um sinal de que esses grupos e indivíduos podem sentir-se liberados para atuar amanhãhttps://t.co/HPsqNauJt0;21;86
1052663585971695616;2018-10-17 20:52:11;As tarefas do próximo período na base dos trabalhadoreshttps://t.co/tNJ4mGdJjW;5;11
1050803027379200000;2018-10-12 17:38:59;Derrotar Jair Bolsonaro nas urnas e nas ruas!https://t.co/SARkUfGH0D;18;81
1050438336593178629;2018-10-11 17:29:50;Derrotar Jair Bolsonaro nas urnas e nas ruas!https://t.co/SARkUfGH0D;18;72
1048371117868634114;2018-10-06 00:35:26;Hoje, encerramos a campanha com uma linda caminhada pelas ruas do Centro de Aracaju, cidade que me acolheu ainda menina. Agradeço a todos que estiveram junto comigo nessa jornada, levando o chamado à rebelião por todo o Brasil! https://t.co/QZvWzBCnsN;11;47
1048333462925725696;2018-10-05 22:05:49;16 é rebelião! https://t.co/ZnvOF7idM4;68;203
1048244389007577088;2018-10-05 16:11:52;Nós, da classe trabalhadora, precisamos nos organizar para lutar, impedir que qualquer candidato que ganhe essa eleição venha tirar nossa aposentadoria #DebateNaGlobo https://t.co/uAnJeZvko7;11;84
1047095253998678016;2018-10-02 12:05:37;Um mês do incêndio do Museu Nacional. Uma perda irreparável para a ciência, a cultura mundial e a historia brasileira. O corte no orçamento, imposto pelo governo atual e pelos governos passados, é a causa de tudo isso. Basta! Temos que virar esse jogo! 16 é rebelião! #Vera16 https://t.co/De092XBAn1;3;30
1046487757164597249;2018-09-30 19:51:38;Sobre o histórico dia de ontem. O nosso lugar é nas ruas, abrindo caminhos e erguendo barricadas. A crise política e econômica não se fecha nas eleições. 2019 será um ano de grandes lutas. É hora da rebelião. Organizar por baixo para derrubar os de cima! #RebeliãoÉ16 #Vera16 https://t.co/siJlnXTxgo;17;63
1046162206654631936;2018-09-29 22:18:01;Ocupamos as ruas do Brasil! #EleNão em São Paulo. A rua é o palco das decisões. O PSTU sempre afirmou isso. Por isso, vamos organizar os de baixo para derrubar os de cima! https://t.co/a8gRCQ7ZZ9;17;62
1045741682929618945;2018-09-28 18:27:00;O @pstu é o partido que mais aplica verbas do Fundo Eleitoral e Partidário nas candidaturas das MULHERES. 74% do total. https://t.co/sAYq7tfUUG;9;29
1045467710568747009;2018-09-28 00:18:20;Estamos ao vivo, na página do PSTU, conversando sobre dívida pública. Aompanhe: https://t.co/Ywd4UiNoUF;1;8
1045420039900483585;2018-09-27 21:08:55;Leia no site do @pstu https://t.co/OEsvwPxXzQ;1;8
1045419887643041794;2018-09-27 21:08:18;Entrei com uma representação na Justiça do RJ contra o vereador Carlos Bolsonaro (PSL/RJ), filho do 'Coiso', por apologia à tortura. Sábado, vamos às ruas para derrotar na luta o projeto autoritário e reacionário desta família, que ataca o povo pobre e os oprimidos. #EleNão;29;180
1045411358760734720;2018-09-27 20:34:25;#EleNão General Mourão, vice de Bolsonaro (PSL), defende o fim do décimo terceiro e das férias. Bolsonaro já disse que quer menos direitos, votou a favor da Lei Terceirizações, votou a Reforma Trabalhista e foi contra a PEC das Domésticas. https://t.co/OdeoV9lHVw;34;51
1045411012625805312;2018-09-27 20:33:02;#EleNão https://t.co/g0CWykth0h;0;4
1045379656927662080;2018-09-27 18:28:27;"O general Mourão, vice do ´Coiso', afirmou que o décimo-terceiro salário e o abono das férias são ""jabuticabas brasileiras"" e que benefícios da lei trabalhista são um peso para o empresário. Sábado, vamos ocupar as ruas contra essa corja e contra todos que atacam nossos direitos!";9;45
